table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_total,field_federally_financed
3199,r001,All institutions,All institutions,,1,1455,545
3199,r002,All institutions -> Delaware Valley U.,All institutions,Delaware Valley U.,2,84,6
3199,r003,All institutions -> Frostburg State U.,All institutions,Frostburg State U.,2,94,94
3199,r004,All institutions -> Fuller Theological Seminary,All institutions,Fuller Theological Seminary,2,142,0
3199,r005,"All institutions -> Indiana U., East",All institutions,"Indiana U., East",2,137,0
3199,r006,All institutions -> John Brown U.,All institutions,John Brown U.,2,138,96
3199,r007,All institutions -> Lincoln U.,All institutions,Lincoln U.,2,0,0
3199,r008,All institutions -> Sherman C. of Chiropractic,All institutions,Sherman C. of Chiropractic,2,0,0
3199,r009,"All institutions -> SUNY, Fredonia",All institutions,"SUNY, Fredonia",2,117,115
3199,r010,"All institutions -> SUNY, Morrisville",All institutions,"SUNY, Morrisville",2,54,0
3199,r011,"All institutions -> SUNY, system office",All institutions,"SUNY, system office",2,53,10
3199,r012,All institutions -> Texas A&M U.-Texarkana,All institutions,Texas A&M U.-Texarkana,2,6,0
3199,r013,All institutions -> U. Houston-Victoria,All institutions,U. Houston-Victoria,2,48,22
3199,r014,All institutions -> U. Redlands,All institutions,U. Redlands,2,124,110
3199,r015,"All institutions -> West Virginia U., Institute of Technology",All institutions,"West Virginia U., Institute of Technology",2,132,9
3199,r016,All institutions -> Western Oregon U.,All institutions,Western Oregon U.,2,47,19
3199,r017,All institutions -> William Carey U.,All institutions,William Carey U.,2,131,0
