table_id,row_id,teaching_field_and_selected_school_characteristic_full_path,teaching_field_and_selected_school_characteristic_level_1,teaching_field_and_selected_school_characteristic_level_2,teaching_field_and_selected_school_characteristic_level_3,teaching_field_and_selected_school_characteristic_level_4,teaching_field_and_selected_school_characteristic_hierarchy_depth,field_regular_or_advanced,field_probationary,field_temporary,field_emergency,field_none
4106,r001,All public middle and high school teachers,All public middle and high school teachers,,,,1,91,3,4,1,2
4106,r002,All public middle and high school teachers -> Mathematics,All public middle and high school teachers,Mathematics,,,2,92,3,3,1,1
4106,r003,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent),All public middle and high school teachers,Mathematics,Minority enrollment (percent),,3,,,,,
4106,r004,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent) -> 0&#8211;24,All public middle and high school teachers,Mathematics,Minority enrollment (percent),0&#8211;24,4,94,2,3,s,1
4106,r005,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent) -> 25&#8211;49,All public middle and high school teachers,Mathematics,Minority enrollment (percent),25&#8211;49,4,94,3,2,1,1
4106,r006,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent) -> 50&#8211;74,All public middle and high school teachers,Mathematics,Minority enrollment (percent),50&#8211;74,4,89,3,5,s,s
4106,r007,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent) -> 75 or more,All public middle and high school teachers,Mathematics,Minority enrollment (percent),75 or more,4,88,3,4,3,2
4106,r008,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>a</sup>,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>a</sup>,,3,,,,,
4106,r009,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>a</sup> -> 0&#8211;34,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>a</sup>,0&#8211;34,4,96,2,2,s,1
4106,r010,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>a</sup> -> 35&#8211;49,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>a</sup>,35&#8211;49,4,92,2,4,s,1
4106,r011,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>a</sup> -> 50&#8211;74,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>a</sup>,50&#8211;74,4,90,3,3,2,1
4106,r012,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>a</sup> -> 75 or more,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>a</sup>,75 or more,4,87,4,5,2,2
4106,r013,All public middle and high school teachers -> Mathematics -> Community type ,All public middle and high school teachers,Mathematics,Community type ,,3,,,,,
4106,r014,All public middle and high school teachers -> Mathematics -> Community type  -> City,All public middle and high school teachers,Mathematics,Community type ,City,4,90,3,4,2,2
4106,r015,All public middle and high school teachers -> Mathematics -> Community type  -> Suburban,All public middle and high school teachers,Mathematics,Community type ,Suburban,4,92,2,4,1,1
4106,r016,All public middle and high school teachers -> Mathematics -> Community type  -> Town,All public middle and high school teachers,Mathematics,Community type ,Town,4,94,3,3,s,1
4106,r017,All public middle and high school teachers -> Mathematics -> Community type  -> Rural,All public middle and high school teachers,Mathematics,Community type ,Rural,4,92,4,2,s,s
4106,r018,All public middle and high school teachers -> Mathematics -> Region,All public middle and high school teachers,Mathematics,Region,,3,,,,,
4106,r019,All public middle and high school teachers -> Mathematics -> Region -> Northeast,All public middle and high school teachers,Mathematics,Region,Northeast,4,92,3,4,1,1
4106,r020,All public middle and high school teachers -> Mathematics -> Region -> Midwest,All public middle and high school teachers,Mathematics,Region,Midwest,4,94,2,3,s,s
