table_id,row_id,occupation_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_professor,field_associate_professor,field_assistant_professor,field_other_faculty,field_rank_not_applicable
1198,r001,All occupations,All occupations,,,,,1,319400,98800,71250,64850,21150,63400
1198,r002,All occupations -> White,All occupations,White,,,,2,225800,76800,51350,43300,15000,39250
1198,r003,All occupations -> Asian,All occupations,Asian,,,,2,60150,13900,11800,13550,3450,17500
1198,r004,All occupations -> Black or African American,All occupations,Black or African American,,,,2,12600,2950,3600,2900,950,2150
1198,r005,All occupations -> Hispanic or Latino<sup>a</sup>,All occupations,Hispanic or Latino<sup>a</sup>,,,,2,15450,3800,3300,3900,1300,3150
1198,r006,All occupations -> American Indian or Alaska Native,All occupations,American Indian or Alaska Native,,,,2,600,150,200,100,50,100
1198,r007,All occupations -> Native Hawaiian or Other Pacific Islander,All occupations,Native Hawaiian or Other Pacific Islander,,,,2,350,50,100,100,S,100
1198,r008,All occupations -> More than one race<sup>b</sup>,All occupations,More than one race<sup>b</sup>,,,,2,4450,1100,900,1000,350,1100
1198,r009,All occupations -> S&E occupations<sup>c</sup>,All occupations,S&E occupations<sup>c</sup>,,,,2,245250,75000,54400,51500,16900,47500
1198,r010,All occupations -> S&E occupations<sup>c</sup> -> White,All occupations,S&E occupations<sup>c</sup>,White,,,3,171300,57900,39100,34350,11950,28000
1198,r011,All occupations -> S&E occupations<sup>c</sup> -> Asian,All occupations,S&E occupations<sup>c</sup>,Asian,,,3,49250,11250,9100,11100,2850,14950
1198,r012,All occupations -> S&E occupations<sup>c</sup> -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Black or African American,,,3,8650,1950,2700,2000,750,1250
1198,r013,All occupations -> S&E occupations<sup>c</sup> -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Hispanic or Latino<sup>a</sup>,,,3,12000,2900,2600,3100,1050,2400
1198,r014,All occupations -> S&E occupations<sup>c</sup> -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,American Indian or Alaska Native,,,3,350,150,100,50,,50
1198,r015,All occupations -> S&E occupations<sup>c</sup> -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Native Hawaiian or Other Pacific Islander,,,3,250,,50,50,S,50
1198,r016,All occupations -> S&E occupations<sup>c</sup> -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,More than one race<sup>b</sup>,,,3,3450,800,750,800,300,800
1198,r017,All occupations -> S&E occupations<sup>c</sup> -> Scientist,All occupations,S&E occupations<sup>c</sup>,Scientist,,,3,214200,63400,47150,44800,15350,43450
1198,r018,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,White,,4,153100,50650,34700,30850,10900,26000
1198,r019,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Asian,,4,39050,7850,7000,8600,2450,13150
1198,r020,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Black or African American,,4,7750,1700,2450,1750,700,1150
1198,r021,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Hispanic or Latino<sup>a</sup>,,4,10550,2400,2200,2750,900,2200
1198,r022,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Scientist,American Indian or Alaska Native,,4,300,100,100,50,,50
1198,r023,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Scientist,Native Hawaiian or Other Pacific Islander,,4,250,,50,50,S,50
1198,r024,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,More than one race<sup>b</sup>,,4,3200,700,700,750,300,750
