table_id,row_id,_b_mechanism_of_support_and_sex_b_full_path,_b_mechanism_of_support_and_sex_b_level_1,_b_mechanism_of_support_and_sex_b_level_2,_b_mechanism_of_support_and_sex_b_level_3,_b_mechanism_of_support_and_sex_b_hierarchy_depth,field_all_sources,field_federal_dod,field_federal_doe,field_federal_hhs_nih,field_federal_hhs_other,field_federal_nasa,field_federal_nsf,field_federal_usda,field_federal_other,field_domestic,field_foreign,field_institutional,field_self_support
3439,r001,"Doctoral students, imputation rate (%)","Doctoral students, imputation rate (%)",,,1,,,,,,,,,,,,,
3439,r002,"Doctoral students, imputation rate (%) -> All full-time doctoral students","Doctoral students, imputation rate (%)",All full-time doctoral students,,2,2.1,5.7,4.2,6.5,3.7,8.5,6.6,3.6,6.9,6.1,5.8,7.7,14.2
3439,r003,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Fellowships","Doctoral students, imputation rate (%)",All full-time doctoral students,Fellowships,3,6.3,3.2,4.1,4.6,0.0,6.0,5.7,1.4,7.8,6.9,9.2,6.5,na
3439,r004,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Research assistantships","Doctoral students, imputation rate (%)",All full-time doctoral students,Research assistantships,3,6.7,5.6,4.1,7.2,3.8,8.4,6.8,3.3,6.4,5.7,3.2,7.8,na
3439,r005,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Teaching assistantships","Doctoral students, imputation rate (%)",All full-time doctoral students,Teaching assistantships,3,8.1,na,14.3,na,11.4,33.3,7.9,5.5,4.1,4.2,3.5,8.2,na
3439,r006,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Traineeships","Doctoral students, imputation rate (%)",All full-time doctoral students,Traineeships,3,4.0,0.0,0.0,5.2,3.8,12.1,6.3,0.0,1.7,0.6,2.9,3.0,na
3439,r007,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Other types of support","Doctoral students, imputation rate (%)",All full-time doctoral students,Other types of support,3,12.4,11.9,2.2,8.0,0.0,23.1,8.7,15.2,12.8,15.1,10.8,9.9,14.2
3439,r008,"Doctoral students, imputation rate (%) -> Male","Doctoral students, imputation rate (%)",Male,,2,2.6,5.1,4.2,6.7,3.7,8.6,6.6,2.5,6.5,6.7,5.0,7.9,12.9
3439,r009,"Doctoral students, imputation rate (%) -> Female","Doctoral students, imputation rate (%)",Female,,2,2.8,7.8,5.3,7.0,4.2,9.2,6.9,4.8,7.4,6.0,7.2,7.8,15.9
3439,r010,"Doctoral students, number imputed<sup>a</sup>","Doctoral students, number imputed<sup>a</sup>",,,1,,,,,,,,,,,,,
3439,r011,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,,2,5258,343,195,1291,74,152,1312,58,433,872,185,11226,3218
3439,r012,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Fellowships","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Fellowships,3,2403,15,8,97,0,14,240,1,60,126,50,1806,na
3439,r013,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Research assistantships","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Research assistantships,3,6404,295,181,936,61,121,969,46,299,596,52,2881,na
3439,r014,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Teaching assistantships","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Teaching assistantships,3,5263,na,5,na,4,3,51,4,8,17,11,5189,na
3439,r015,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Traineeships","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Traineeships,3,407,0,0,231,9,8,27,0,3,3,2,124,na
3439,r016,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Other types of support","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Other types of support,3,4931,33,1,27,0,6,27,7,63,146,70,1391,3218
3439,r017,"Doctoral students, number imputed<sup>a</sup> -> Male","Doctoral students, number imputed<sup>a</sup>",Male,,2,3702,233,146,645,37,102,822,20,248,580,104,6400,1492
3439,r018,"Doctoral students, number imputed<sup>a</sup> -> Female","Doctoral students, number imputed<sup>a</sup>",Female,,2,2990,112,64,724,43,55,497,38,185,330,80,5044,1756
3439,r019,"Master's students, imputation rate (%)","Master's students, imputation rate (%)",,,1,,,,,,,,,,,,,
3439,r020,"Master's students, imputation rate (%) -> All full-time master's students","Master's students, imputation rate (%)",All full-time master's students,,2,3.1,5.6,5.8,7.7,3.0,6.5,8.2,5.0,10.1,8.7,11.0,10.2,11.8
3439,r021,"Master's students, imputation rate (%) -> All full-time master's students -> Fellowships","Master's students, imputation rate (%)",All full-time master's students,Fellowships,3,11.5,11.3,5.3,12.3,0.0,0.0,8.7,33.3,9.7,5.2,6.8,12.4,na
3439,r022,"Master's students, imputation rate (%) -> All full-time master's students -> Research assistantships","Master's students, imputation rate (%)",All full-time master's students,Research assistantships,3,8.7,8.9,5.5,8.9,0.3,8.0,9.1,4.7,6.5,6.6,7.0,10.2,na
3439,r023,"Master's students, imputation rate (%) -> All full-time master's students -> Teaching assistantships","Master's students, imputation rate (%)",All full-time master's students,Teaching assistantships,3,9.8,na,0.0,na,12.5,0.0,4.5,3.2,15.3,24.0,1.2,10.1,na
3439,r024,"Master's students, imputation rate (%) -> All full-time master's students -> Traineeships","Master's students, imputation rate (%)",All full-time master's students,Traineeships,3,6.2,7.1,0.0,3.7,11.3,-,0.0,8.3,4.0,4.4,0.0,6.7,na
3439,r025,"Master's students, imputation rate (%) -> All full-time master's students -> Other types of support","Master's students, imputation rate (%)",All full-time master's students,Other types of support,3,11.7,3.6,11.5,3.9,8.9,0.0,5.9,9.4,12.6,12.1,15.1,10.1,11.8
3439,r026,"Master's students, imputation rate (%) -> Male","Master's students, imputation rate (%)",Male,,2,3.9,4.8,6.1,6.8,1.0,5.1,9.0,5.6,8.3,9.1,9.9,10.4,12.1
3439,r027,"Master's students, imputation rate (%) -> Female","Master's students, imputation rate (%)",Female,,2,3.3,8.6,4.7,8.4,4.6,9.1,7.4,4.6,11.5,8.2,12.8,10.3,11.8
3439,r028,"Master's students, number imputed<sup>a</sup>","Master's students, number imputed<sup>a</sup>",,,1,,,,,,,,,,,,,
3439,r029,"Master's students, number imputed<sup>a</sup> -> All full-time master's students","Master's students, number imputed<sup>a</sup>",All full-time master's students,,2,7995,139,26,81,14,18,168,49,377,426,167,6122,20865
3439,r030,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Fellowships","Master's students, number imputed<sup>a</sup>",All full-time master's students,Fellowships,3,886,12,1,8,0,0,18,1,25,26,9,788,na
3439,r031,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Research assistantships","Master's students, number imputed<sup>a</sup>",All full-time master's students,Research assistantships,3,1772,67,22,62,1,18,128,40,84,167,22,1190,na
3439,r032,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Teaching assistantships","Master's students, number imputed<sup>a</sup>",All full-time master's students,Teaching assistantships,3,2293,na,0,na,1,0,9,2,25,44,2,2264,na
3439,r033,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Traineeships","Master's students, number imputed<sup>a</sup>",All full-time master's students,Traineeships,3,135,1,0,5,8,0,0,1,4,9,0,107,na
3439,r034,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Other types of support","Master's students, number imputed<sup>a</sup>",All full-time master's students,Other types of support,3,23424,59,3,6,4,0,13,5,239,180,134,1820,20865
3439,r035,"Master's students, number imputed<sup>a</sup> -> Male","Master's students, number imputed<sup>a</sup>",Male,,2,4818,95,21,30,2,9,111,25,138,239,91,3013,10208
3439,r036,"Master's students, number imputed<sup>a</sup> -> Female","Master's students, number imputed<sup>a</sup>",Female,,2,4293,44,5,51,12,9,60,24,237,187,76,3207,10846
