table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_hierarchy_depth,field_total_r_d,field_basic_research,field_applied_research,field_experimental_development,field_percentage_of_total_r_d_basic_research,field_percentage_of_total_r_d_applied_research,field_percentage_of_total_r_d_experimental_development
6316,r001,All agencies,All agencies,,1,167402.8,41546.6,43758.1,82098.0,24.8,26.1,49.0
6316,r002,All agencies -> Department of Defense,All agencies,Department of Defense,2,66695.0,2499.1,6416.2,57779.7,3.7,9.6,86.6
6316,r003,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,2,60005.7,21809.0,22424.8,15772.0,36.3,37.4,26.3
6316,r004,All agencies -> Department of Energy,All agencies,Department of Energy,2,13453.0,5501.6,5023.6,2927.9,40.9,37.3,21.8
6316,r005,All agencies -> National Aeronautics and Space Administration,All agencies,National Aeronautics and Space Administration,2,10537.8,3839.4,2554.8,4143.7,36.4,24.2,39.3
6316,r006,All agencies -> National Science Foundation,All agencies,National Science Foundation,2,6351.2,5461.9,889.2,0.0,86.0,14.0,0.0
6316,r007,All agencies -> Department of Agriculture,All agencies,Department of Agriculture,2,2643.6,1163.8,1224.6,255.2,44.0,46.3,9.7
6316,r008,All agencies -> Department of Commerce,All agencies,Department of Commerce,2,1621.7,251.2,1109.6,260.9,15.5,68.4,16.1
6316,r009,All agencies -> Department of Veterans Affairs,All agencies,Department of Veterans Affairs,2,1565.1,617.7,918.1,29.3,39.5,58.7,1.9
6316,r010,All agencies -> Department of Transportation,All agencies,Department of Transportation,2,1184.2,0.0,900.2,284.0,0.0,76.0,24.0
6316,r011,All agencies -> Department of the Interior,All agencies,Department of the Interior,2,837.2,83.9,614.5,138.9,10.0,73.4,16.6
6316,r012,All agencies -> Department of Homeland Security,All agencies,Department of Homeland Security,2,507.5,47.4,177.9,282.2,9.3,35.0,55.6
6316,r013,All agencies -> Environmental Protection Agency,All agencies,Environmental Protection Agency,2,488.5,0.0,411.9,76.6,0.0,84.3,15.7
6316,r014,All agencies -> Patient-Centered Outcomes Research Trust Fund,All agencies,Patient-Centered Outcomes Research Trust Fund,2,469.7,0.0,469.7,0.0,0.0,100.0,0.0
6316,r015,All agencies -> Department of Education,All agencies,Department of Education,2,240.1,53.7,135.8,50.7,22.3,56.6,21.1
6316,r016,All agencies -> Smithsonian Institution,All agencies,Smithsonian Institution,2,209.8,209.8,0.0,0.0,100.0,0.0,0.0
6316,r017,All agencies -> Agency for International Development,All agencies,Agency for International Development,2,194.3,0.1,134.8,59.4,0.1,69.4,30.6
6316,r018,All agencies -> Department of Justice,All agencies,Department of Justice,2,96.4,0.7,83.8,11.9,0.7,86.9,12.4
6316,r019,All agencies -> Social Security Administration,All agencies,Social Security Administration,2,69.7,0.0,69.7,0.0,0.0,100.0,0.0
6316,r020,All agencies -> All other agencies,All agencies,All other agencies,2,232.0,7.4,199.0,25.6,3.2,85.8,11.0
