table_id,row_id,institution_full_path,institution_level_1,institution_level_2,institution_hierarchy_depth,field_rank,field_all_fields,field_agricultural_sciences,field_biological_and_biomedical_sciences,field_computer_and_information_sciences,field_engineering,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_health_sciences,field_mathematics_and_statistics,field_natural_resources_and_conservation,field_physical_sciences,field_psychology,field_social_sciences,field_other
3049,r001,All institutions,All institutions,,1,-,"['227,275', '']","['28,411', '']","['58,657', '']","['4,591', '']","['38,092', '']","['8,739', '']","['41,183', '']","['1,789', '']","['4,744', '']","['23,446', '']","['5,920', '']","['6,420', '']","['5,284', '']"
3049,r002,All institutions -> U. Florida,All institutions,U. Florida,2,1,"['4,253', '']","['2,140', '']","['557', '']","['25', '']","['525', '']","['28', '']","['510', '']","['10', '']","['160', '']","['214', '']","['46', '']","['38', '']","['0', '']"
3049,r003,All institutions -> U. Georgia,All institutions,U. Georgia,2,2,"['3,945', '']","['2,022', '']","['364', '']","['3', '']","['149', '']","['233', '']","['418', '']","['*', '']","['305', '']","['98', '']","['41', '']","['15', '']","['297', '']"
3049,r004,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,3,"['3,763', '']","['1,450', '']","['473', '']","['36', '']","['305', '']","['174', '']","['756', '']","['52', '']","['113', '']","['194', '']","['93', '']","['117', '']","['0', '']"
3049,r005,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,4,"['3,111', '']","['315', '']","['851', '']","['23', '']","['434', '']","['129', '']","['707', '']","['8', '']","['45', '']","['312', '']","['150', '']","['96', '']","['41', '']"
3049,r006,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,5,"['3,101', '']","['647', '']","['643', '']","['21', '']","['892', '']","['44', '']","['306', '']","['30', '']","['31', '']","['324', '']","['63', '']","['73', '']","['28', '']"
3049,r007,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,6,"['3,089', '']","['758', '']","['927', '']","['26', '']","['327', '']","['84', '']","['510', '']","['14', '']","['26', '']","['182', '']","['40', '']","['80', '']","['114', '']"
3049,r008,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,7,"['3,080', '']","['815', '']","['349', '']","['158', '']","['635', '']","['20', '']","['160', '']","['5', '']","['318', '']","['210', '']","['71', '']","['24', '']","['315', '']"
3049,r009,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,8,"['3,015', '']","['795', '']","['554', '']","['1', '']","['458', '']","['47', '']","['779', '']","['4', '']","['67', '']","['126', '']","['179', '']","['5', '']","['0', '']"
3049,r010,All institutions -> Johns Hopkins U.,All institutions,Johns Hopkins U.,2,9,"['2,978', '']","['0', '']","['639', '']","['202', '']","['869', '']","['20', '']","['636', '']","['14', '']","['0', '']","['377', '']","['51', '']","['37', '']","['133', '']"
3049,r011,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,10,"['2,951', '']","['0', '']","['301', '']","['0', '']","['674', '']","['332', '']","['858', '']","['17', '']","['0', '']","['285', '']","['59', '']","['133', '']","['292', '']"
3049,r012,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,11,"['2,918', '']","['1', '']","['429', '']","['42', '']","['261', '']","['134', '']","['1,221', '']","['38', '']","['0', '']","['328', '']","['79', '']","['159', '']","['226', '']"
3049,r013,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,12,"['2,830', '']","['0', '']","['112', '']","['83', '']","['2,392', '']","['20', '']","['26', '']","['*', '']","['0', '']","['116', '']","['25', '']","['6', '']","['50', '']"
3049,r014,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,13,"['2,814', '']","['1,071', '']","['594', '']","['25', '']","['230', '']","['25', '']","['198', '']","['11', '']","['100', '']","['376', '']","['35', '']","['58', '']","['90', '']"
3049,r015,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,14,"['2,780', '']","['910', '']","['642', '']","['9', '']","['365', '']","['102', '']","['605', '']","['5', '']","['19', '']","['70', '']","['23', '']","['31', '']","['0', '']"
3049,r016,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,15,"['2,575', '']","['995', '']","['361', '']","['33', '']","['637', '']","['60', '']","['165', '']","['64', '']","['38', '']","['160', '']","['13', '']","['28', '']","['21', '']"
3049,r017,All institutions -> Yale U.,All institutions,Yale U.,2,16,"['2,447', '']","['0', '']","['726', '']","['28', '']","['123', '']","['38', '']","['984', '']","['18', '']","['48', '']","['229', '']","['44', '']","['172', '']","['38', '']"
3049,r018,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,17,"['2,420', '']","['242', '']","['643', '']","['18', '']","['672', '']","['53', '']","['368', '']","['9', '']","['116', '']","['220', '']","['36', '']","['42', '']","['0', '']"
3049,r019,All institutions -> Harvard U.,All institutions,Harvard U.,2,18,"['2,416', '']","['32', '']","['1,173', '']","['25', '']","['127', '']","['98', '']","['65', '']","['66', '']","['0', '']","['399', '']","['60', '']","['296', '']","['76', '']"
3049,r020,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,19,"['2,408', '']","['0', '']","['724', '']","['22', '']","['572', '']","['72', '']","['92', '']","['39', '']","['209', '']","['378', '']","['44', '']","['217', '']","['38', '']"
3049,r021,All institutions -> Washington State U.,All institutions,Washington State U.,2,20,"['2,259', '']","['958', '']","['380', '']","['21', '']","['256', '']","['25', '']","['394', '']","['6', '']","['22', '']","['133', '']","['29', '']","['34', '']","['0', '']"
3049,r022,All institutions -> Wake Forest U.,All institutions,Wake Forest U.,2,21,"['2,248', '']","['3', '']","['1,201', '']","['2', '']","['25', '']","['0', '']","['943', '']","['7', '']","['*', '']","['42', '']","['19', '']","['7', '']","['0', '']"
3049,r023,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,22,"['2,177', '']","['1,074', '']","['97', '']","['11', '']","['530', '']","['26', '']","['219', '']","['12', '']","['18', '']","['90', '']","['23', '']","['78', '']","['0', '']"
3049,r024,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,23,"['2,135', '']","['0', '']","['497', '']","['15', '']","['370', '']","['117', '']","['842', '']","['*', '']","['85', '']","['162', '']","['29', '']","['18', '']","['0', '']"
3049,r025,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,24,"['2,006', '']","['0', '']","['537', '']","['64', '']","['199', '']","['151', '']","['513', '']","['30', '']","['81', '']","['300', '']","['75', '']","['56', '']","['0', '']"
3049,r026,All institutions -> Cornell U.,All institutions,Cornell U.,2,25,"['1,994', '']","['534', '']","['813', '']","['13', '']","['163', '']","['4', '']","['42', '']","['1', '']","['37', '']","['294', '']","['12', '']","['13', '']","['67', '']"
3049,r027,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,26,"['1,905', '']","['12', '']","['363', '']","['4', '']","['463', '']","['47', '']","['663', '']","['4', '']","['8', '']","['167', '']","['32', '']","['82', '']","['61', '']"
3049,r028,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,27,"['1,898', '']","['0', '']","['315', '']","['0', '']","['0', '']","['0', '']","['1,374', '']","['0', '']","['0', '']","['0', '']","['0', '']","['16', '']","['194', '']"
3049,r029,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,28,"['1,861', '']","['*', '']","['668', '']","['22', '']","['137', '']","['83', '']","['755', '']","['6', '']","['8', '']","['39', '']","['27', '']","['109', '']","['7', '']"
3049,r030,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,29,"['1,858', '']","['186', '']","['490', '']","['17', '']","['250', '']","['5', '']","['659', '']","['*', '']","['0', '']","['154', '']","['30', '']","['46', '']","['21', '']"
3049,r031,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,30,"['1,833', '']","['319', '']","['538', '']","['9', '']","['151', '']","['33', '']","['600', '']","['0', '']","['35', '']","['54', '']","['73', '']","['21', '']","['0', '']"
3049,r032,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,31,"['1,831', '']","['0', '']","['263', '']","['116', '']","['658', '']","['51', '']","['0', '']","['10', '']","['0', '']","['510', '']","['0', '']","['34', '']","['191', '']"
3049,r033,All institutions -> U. Utah,All institutions,U. Utah,2,32,"['1,733', '']","['0', '']","['441', '']","['56', '']","['251', '']","['89', '']","['646', '']","['2', '']","['0', '']","['185', '']","['27', '']","['34', '']","['2', '']"
3049,r034,All institutions -> Stanford U.,All institutions,Stanford U.,2,33,"['1,731', '']","['0', '']","['541', '']","['26', '']","['257', '']","['50', '']","['508', '']","['5', '']","['7', '']","['272', '']","['22', '']","['30', '']","['13', '']"
3049,r035,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,34,"['1,683', '']","['3', '']","['666', '']","['22', '']","['131', '']","['11', '']","['595', '']","['15', '']","['0', '']","['166', '']","['45', '']","['31', '']","['0', '']"
3049,r036,All institutions -> North Dakota State U.,All institutions,North Dakota State U.,2,35,"['1,655', '']","['1,362', '']","['67', '']","['4', '']","['81', '']","['6', '']","['16', '']","['0', '']","['13', '']","['61', '']","['11', '']","['5', '']","['29', '']"
3049,r037,All institutions -> U. Arizona,All institutions,U. Arizona,2,36,"['1,621', '']","['308', '']","['275', '']","['12', '']","['125', '']","['194', '']","['151', '']","['3', '']","['40', '']","['396', '']","['14', '']","['32', '']","['70', '']"
3049,r038,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,37,"['1,568', '']","['0', '']","['454', '']","['59', '']","['262', '']","['40', '']","['376', '']","['17', '']","['0', '']","['222', '']","['51', '']","['88', '']","['0', '']"
3049,r039,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,38,"['1,567', '']","['458', '']","['145', '']","['46', '']","['513', '']","['18', '']","['140', '']","['7', '']","['27', '']","['153', '']","['21', '']","['13', '']","['28', '']"
3049,r040,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,39,"['1,556', '']","['438', '']","['213', '']","['5', '']","['493', '']","['18', '']","['196', '']","['1', '']","['73', '']","['59', '']","['8', '']","['1', '']","['53', '']"
3049,r041,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,40,"['1,511', '']","['977', '']","['191', '']","['4', '']","['168', '']","['2', '']","['10', '']","['2', '']","['8', '']","['90', '']","['4', '']","['5', '']","['50', '']"
3049,r042,"All institutions -> U. Nebraska, Lincoln",All institutions,"U. Nebraska, Lincoln",2,41,"['1,459', '']","['721', '']","['232', '']","['10', '']","['170', '']","['9', '']","['97', '']","['0', '']","['48', '']","['97', '']","['12', '']","['60', '']","['3', '']"
3049,r043,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,42,"['1,404', '']","['0', '']","['198', '']","['36', '']","['444', '']","['38', '']","['48', '']","['3', '']","['0', '']","['178', '']","['33', '']","['20', '']","['406', '']"
3049,r044,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,43,"['1,391', '']","['0', '']","['368', '']","['25', '']","['54', '']","['38', '']","['678', '']","['7', '']","['0', '']","['150', '']","['27', '']","['45', '']","['0', '']"
3049,r045,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,44,"['1,375', '']","['503', '']","['126', '']","['5', '']","['215', '']","['162', '']","['103', '']","['4', '']","['39', '']","['154', '']","['12', '']","['22', '']","['32', '']"
3049,r046,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,45,"['1,341', '']","['0', '']","['1,341', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r047,All institutions -> U. Chicago,All institutions,U. Chicago,2,46,"['1,334', '']","['0', '']","['619', '']","['14', '']","['70', '']","['33', '']","['364', '']","['5', '']","['0', '']","['175', '']","['39', '']","['14', '']","['2', '']"
