table_id,row_id,time_period,workers_employed_level_1,workers_employed_level_2,workers_employed_hierarchy_depth,value
1596,r001_1,U.S. total,Workers employed,All occupations,2,142549250
1596,r001_2,U.S. total,Workers employed,S&E occupations,2,6889020
1596,r001_3,U.S. total,Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,100
1596,r002_1,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",Workers employed,All occupations,2,6693930
1596,r002_2,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",Workers employed,S&E occupations,2,303080
1596,r002_3,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,4
1596,r003_1,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Workers employed,All occupations,2,2519220
1596,r003_2,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Workers employed,S&E occupations,2,273310
1596,r003_3,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,4
1596,r004_1,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",Workers employed,All occupations,2,4430840
1596,r004_2,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",Workers employed,S&E occupations,2,184310
1596,r004_3,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,3
1596,r005_1,"San Jose-Sunnyvale-Santa Clara, CA",Workers employed,All occupations,2,1089070
1596,r005_2,"San Jose-Sunnyvale-Santa Clara, CA",Workers employed,S&E occupations,2,179220
1596,r005_3,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,3
1596,r006_1,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",Workers employed,All occupations,2,3662390
1596,r006_2,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",Workers employed,S&E occupations,2,173730
1596,r006_3,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,3
1596,r007_1,"Seattle-Bellevue-Everett, WA Metropolitan Division",Workers employed,All occupations,2,1647350
1596,r007_2,"Seattle-Bellevue-Everett, WA Metropolitan Division",Workers employed,S&E occupations,2,172730
1596,r007_3,"Seattle-Bellevue-Everett, WA Metropolitan Division",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,3
1596,r008_1,"Boston-Cambridge-Newton, MA NECTA Division",Workers employed,All occupations,2,1839740
1596,r008_2,"Boston-Cambridge-Newton, MA NECTA Division",Workers employed,S&E occupations,2,162520
