table_id,row_id,demographic_characteristic_and_broad_field_of_study_full_path,demographic_characteristic_and_broad_field_of_study_level_1,demographic_characteristic_and_broad_field_of_study_level_2,demographic_characteristic_and_broad_field_of_study_level_3,demographic_characteristic_and_broad_field_of_study_level_4,demographic_characteristic_and_broad_field_of_study_level_5,demographic_characteristic_and_broad_field_of_study_hierarchy_depth,field_total_number_,field_parental_education_attainment_all,field_parental_education_attainment_high_school_or_less,field_parental_education_attainment_some_collegea,field_parental_education_attainment_bachelor_s_degree,field_parental_education_attainment_master_s_degree,field_parental_education_attainment_professional_degreeb,field_parental_education_attainment_research_doctoral_degree
1761,r001,All doctorate recipients,All doctorate recipients,,,,,1,,,,,,,,
1761,r002,All doctorate recipients -> Father's education<sup>c</sup>,All doctorate recipients,Father's education<sup>c</sup>,,,,2,47823,100.0,22.9,13.5,27.6,17.5,8.4,10.1
1761,r003,All doctorate recipients -> Mother's education<sup>d</sup>,All doctorate recipients,Mother's education<sup>d</sup>,,,,2,48129,100.0,27.0,17.2,29.1,17.8,4.4,4.5
1761,r004,All doctorate recipients -> Sex,All doctorate recipients,Sex,,,,2,,,,,,,,
1761,r005,All doctorate recipients -> Sex -> Male,All doctorate recipients,Sex,Male,,,3,,,,,,,,
1761,r006,All doctorate recipients -> Sex -> Male -> Father's education,All doctorate recipients,Sex,Male,Father's education,,4,25815,100.0,23.4,12.6,27.9,17.3,8.2,10.6
1761,r007,All doctorate recipients -> Sex -> Male -> Mother's education,All doctorate recipients,Sex,Male,Mother's education,,4,25909,100.0,28.8,16.4,29.2,17.1,4.5,4.0
1761,r008,All doctorate recipients -> Sex -> Female,All doctorate recipients,Sex,Female,,,3,,,,,,,,
1761,r009,All doctorate recipients -> Sex -> Female -> Father's education,All doctorate recipients,Sex,Female,Father's education,,4,22008,100.0,22.3,14.5,27.2,17.8,8.6,9.5
1761,r010,All doctorate recipients -> Sex -> Female -> Mother's education,All doctorate recipients,Sex,Female,Mother's education,,4,22220,100.0,24.9,18.1,29.0,18.6,4.4,5.0
1761,r011,All doctorate recipients -> Citizenship status,All doctorate recipients,Citizenship status,,,,2,,,,,,,,
1761,r012,All doctorate recipients -> Citizenship status -> U.S. citizen or permanent resident,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,,,3,,,,,,,,
1761,r013,All doctorate recipients -> Citizenship status -> U.S. citizen or permanent resident -> Father's education,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Father's education,,4,32205,100.0,20.6,14.2,24.9,19.0,10.3,10.9
1761,r014,All doctorate recipients -> Citizenship status -> U.S. citizen or permanent resident -> Mother's education,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,,4,32529,100.0,21.4,18.8,28.4,21.2,5.2,5.1
1761,r015,All doctorate recipients -> Citizenship status -> Temporary visa holder,All doctorate recipients,Citizenship status,Temporary visa holder,,,3,,,,,,,,
